asset,date,arrival_us,fraction,arm,depletion,arrival_notional,quantity,filled,unfilled,max_backlog,proceeds,fee_dollars,timing_dollars,timing_shortfall_dollars,spread_dollars,depth_dollars,book_cost_dollars,filled_quantity_shortfall_dollars,shortfall_dollars,shortfall_bps
BTC,2021-04-14,1618360500000000,0.01,reference,1,1175.8018240702147,0.018577626036036632,0.018577626036036632,0.0,0.0,1176.6295501982513,0.0,0.827819016165749,-0.827819016165749,9.288812918533182e-05,0.0,9.288812918533182e-05,-0.827726128036602,-0.827726128036602,-7.0396737876396855
BTC,2021-04-14,1618360500000000,0.01,reference,0,1175.8018240702147,0.018577626036036632,0.018577626036036632,0.0,0.0,1176.6295501982513,0.0,0.827819016165749,-0.827819016165749,9.288812918533182e-05,0.0,9.288812918533182e-05,-0.827726128036602,-0.827726128036602,-7.0396737876396855
BTC,2021-04-14,1618360500000000,0.01,oracle_price,1,1175.8018240702147,0.018577626036036632,0.018577626036036632,0.0,0.0,1178.7783622764164,0.0,2.9766310943340315,-2.9766310943340315,9.288813247446894e-05,0.0,9.288813247446894e-05,-2.976538206201667,-2.976538206201667,-25.314965032950305
BTC,2021-04-14,1618360500000000,0.01,oracle_price,0,1175.8018240702147,0.018577626036036632,0.018577626036036632,0.0,0.0,1178.7783622764164,0.0,2.9766310943340315,-2.9766310943340315,9.288813247446894e-05,0.0,9.288813247446894e-05,-2.976538206201667,-2.976538206201667,-25.314965032950305
BTC,2021-04-14,1618360500000000,0.01,oracle_liquidity,1,1175.8018240702147,0.018577626036036632,0.018577626036036632,0.0,0.0,1177.5551494527888,0.0,1.7534182707012214,-1.7534182707012214,9.288812711272484e-05,0.0,9.288812711272484e-05,-1.7533253825740758,-1.7533253825740758,-14.911742324949595
BTC,2021-04-14,1618360500000000,0.01,oracle_liquidity,0,1175.8018240702147,0.018577626036036632,0.018577626036036632,0.0,0.0,1177.5551494527888,0.0,1.7534182707012214,-1.7534182707012214,9.288812711272484e-05,0.0,9.288812711272484e-05,-1.7533253825740758,-1.7533253825740758,-14.911742324949595
BTC,2021-04-14,1618360500000000,0.01,full_oracle,1,1175.8018240702147,0.018577626036036632,0.018577626036036632,0.0,0.0,1178.7783622764164,0.0,2.9766310943340315,-2.9766310943340315,9.288813247446894e-05,0.0,9.288813247446894e-05,-2.976538206201667,-2.976538206201667,-25.314965032950305
BTC,2021-04-14,1618360500000000,0.01,full_oracle,0,1175.8018240702147,0.018577626036036632,0.018577626036036632,0.0,0.0,1178.7783622764164,0.0,2.9766310943340315,-2.9766310943340315,9.288813247446894e-05,0.0,9.288813247446894e-05,-2.976538206201667,-2.976538206201667,-25.314965032950305
BTC,2021-04-14,1618360500000000,0.05,reference,1,5879.009120351074,0.09288813018018316,0.09288813018018316,0.0,0.0,5883.1477509912565,0.0,4.139095080828745,-4.139095080828745,0.0004644406459266591,0.0,0.0004644406459266591,-4.138630640182782,-4.138630640182782,-7.039673787639298
BTC,2021-04-14,1618360500000000,0.05,reference,0,5879.009120351074,0.09288813018018316,0.09288813018018316,0.0,0.0,5883.1477509912565,0.0,4.139095080828745,-4.139095080828745,0.0004644406459266591,0.0,0.0004644406459266591,-4.138630640182782,-4.138630640182782,-7.039673787639298
BTC,2021-04-14,1618360500000000,0.05,oracle_price,1,5879.009120351074,0.09288813018018316,0.09288813018018316,0.0,0.0,5893.816326899083,0.0,14.883155471670156,-14.883155471670156,0.0004644406623723448,0.07548448299939992,0.07594892366177226,-14.807206548009162,-14.807206548009162,-25.18656842485886
BTC,2021-04-14,1618360500000000,0.05,oracle_price,0,5879.009120351074,0.09288813018018316,0.09288813018018316,0.0,0.0,5893.816326899083,0.0,14.883155471670156,-14.883155471670156,0.0004644406623723448,0.07548448299939992,0.07594892366177226,-14.807206548009162,-14.807206548009162,-25.18656842485886
BTC,2021-04-14,1618360500000000,0.05,oracle_liquidity,1,5879.009120351074,0.09288813018018316,0.09288813018018316,0.0,0.0,5886.243067460722,0.0,7.234411550286724,-7.234411550286724,0.00046444063794364365,0.0,0.00046444063794364365,-7.233947109648398,-7.233947109648398,-12.30470469012712
BTC,2021-04-14,1618360500000000,0.05,oracle_liquidity,0,5879.009120351074,0.09288813018018316,0.09288813018018316,0.0,0.0,5886.243067460722,0.0,7.234411550286724,-7.234411550286724,0.00046444063794364365,0.0,0.00046444063794364365,-7.233947109648398,-7.233947109648398,-12.30470469012712
BTC,2021-04-14,1618360500000000,0.05,full_oracle,1,5879.009120351074,0.09288813018018316,0.09288813018018316,0.0,0.0,5893.816326899082,0.0,14.883155471670154,-14.883155471670154,0.0004644406623723448,0.07548448299939992,0.07594892366177226,-14.807206548008253,-14.807206548008253,-25.186568424857313
BTC,2021-04-14,1618360500000000,0.05,full_oracle,0,5879.009120351074,0.09288813018018316,0.09288813018018316,0.0,0.0,5893.816326899082,0.0,14.883155471670154,-14.883155471670154,0.0004644406623723448,0.07548448299939992,0.07594892366177226,-14.807206548008253,-14.807206548008253,-25.186568424857313
BTC,2021-04-14,1618360500000000,0.2,reference,1,23516.036481404295,0.3715525207207326,0.3715525207207325,0.0,0.0,23547.378000492005,0.0,31.383211366658596,-31.383211366658596,0.0018577626139341065,0.03983451633303048,0.04169227894696458,-31.341519087716733,-31.341519087716733,-13.327721749581642
BTC,2021-04-14,1618360500000000,0.2,reference,0,23516.036481404295,0.3715525207207326,0.3715525207207325,0.0,0.0,23547.378000492005,0.0,31.383211366658596,-31.383211366658596,0.0018577626139341065,0.03983451633303048,0.04169227894696458,-31.341519087716733,-31.341519087716733,-13.327721749581642
BTC,2021-04-14,1618360500000000,0.2,oracle_price,1,23516.036481404295,0.37155252072073264,0.37155252072073264,0.0,2.7755575615628914e-17,23574.925287804435,0.0,59.53262188668063,-59.53262188668063,0.0018577626494893794,0.6419577238912098,0.6438154865406991,-58.88880640014031,-58.88880640014031,-25.041977820840525
BTC,2021-04-14,1618360500000000,0.2,oracle_price,0,23516.036481404295,0.37155252072073264,0.37155252072073264,0.0,2.7755575615628914e-17,23574.925287804435,0.0,59.53262188668063,-59.53262188668063,0.0018577626494893794,0.6419577238912098,0.6438154865406991,-58.88880640014031,-58.88880640014031,-25.041977820840525
BTC,2021-04-14,1618360500000000,0.2,oracle_liquidity,1,23516.036481404295,0.37155252072073264,0.37155252072073264,0.0,0.0,23542.593720137265,0.0,26.55909649553506,-26.55909649553506,0.0018577625640432932,0.0,0.0018577625640432932,-26.55723873297029,-26.55723873297029,-11.293246102067785
BTC,2021-04-14,1618360500000000,0.2,oracle_liquidity,0,23516.036481404295,0.37155252072073264,0.37155252072073264,0.0,0.0,23542.593720137265,0.0,26.55909649553506,-26.55909649553506,0.0018577625640432932,0.0,0.0018577625640432932,-26.55723873297029,-26.55723873297029,-11.293246102067785
BTC,2021-04-14,1618360500000000,0.2,full_oracle,1,23516.036481404295,0.37155252072073264,0.37155252072073264,0.0,0.0,23574.93858948567,0.0,59.51407627384316,-59.51407627384316,0.001857762646232277,0.6101104298204518,0.6119681924666841,-58.902108081376355,-58.902108081376355,-25.047634250760836
BTC,2021-04-14,1618360500000000,0.2,full_oracle,0,23516.036481404295,0.37155252072073264,0.37155252072073264,0.0,0.0,23574.93858948567,0.0,59.51407627384316,-59.51407627384316,0.001857762646232277,0.6101104298204518,0.6119681924666841,-58.902108081376355,-58.902108081376355,-25.047634250760836
BTC,2021-04-14,1618362300000000,0.01,reference,1,1732.7883731238808,0.027324812613713306,0.027324812613713306,0.0,0.0,1732.341749061709,0.0,-0.4464874381079799,0.4464874381079799,0.0001366240638585215,0.0,0.0001366240638585215,0.4466240621718498,0.4466240621718498,2.577487644187463
BTC,2021-04-14,1618362300000000,0.01,reference,0,1732.7883731238808,0.027324812613713306,0.027324812613713306,0.0,0.0,1732.341749061709,0.0,-0.4464874381079799,0.4464874381079799,0.0001366240638585215,0.0,0.0001366240638585215,0.4466240621718498,0.4466240621718498,2.577487644187463
BTC,2021-04-14,1618362300000000,0.01,oracle_price,1,1732.7883731238808,0.027324812613713306,0.027324812613713306,0.0,0.0,1732.4146505461754,0.0,-0.3309034807519514,0.3309034807519514,0.042763330194148255,5.57667592602229e-05,0.04281909695340848,0.37372257770539363,0.37372257770539363,2.1567698831660813
BTC,2021-04-14,1618362300000000,0.01,oracle_price,0,1732.7883731238808,0.027324812613713306,0.027324812613713306,0.0,0.0,1732.4146505461754,0.0,-0.3309034807519514,0.3309034807519514,0.042763330194148255,5.57667592602229e-05,0.04281909695340848,0.37372257770539363,0.37372257770539363,2.1567698831660813
BTC,2021-04-14,1618362300000000,0.01,oracle_liquidity,1,1732.7883731238808,0.027324812613713306,0.027324812613713306,0.0,0.0,1730.173525180814,0.0,-2.6147113190061573,2.6147113190061573,0.00013662406054495188,0.0,0.00013662406054495188,2.6148479430667066,2.6148479430667066,15.09040563535548
BTC,2021-04-14,1618362300000000,0.01,oracle_liquidity,0,1732.7883731238808,0.027324812613713306,0.027324812613713306,0.0,0.0,1730.173525180814,0.0,-2.6147113190061573,2.6147113190061573,0.00013662406054495188,0.0,0.00013662406054495188,2.6148479430667066,2.6148479430667066,15.09040563535548
BTC,2021-04-14,1618362300000000,0.01,full_oracle,1,1732.7883731238808,0.027324812613713306,0.027324812613713306,0.0,0.0,1732.4146505461754,0.0,-0.3309034807519514,0.3309034807519514,0.042763330194148255,5.57667592602229e-05,0.04281909695340848,0.37372257770539363,0.37372257770539363,2.1567698831660813
BTC,2021-04-14,1618362300000000,0.01,full_oracle,0,1732.7883731238808,0.027324812613713306,0.027324812613713306,0.0,0.0,1732.4146505461754,0.0,-0.3309034807519514,0.3309034807519514,0.042763330194148255,5.57667592602229e-05,0.04281909695340848,0.37372257770539363,0.37372257770539363,2.1567698831660813
BTC,2021-04-14,1618362300000000,0.05,reference,1,8663.941865619405,0.13662406306856653,0.13662406306856653,0.0,0.0,8661.564736475751,0.0,-2.2324371905399,2.2324371905399,0.0006831203192926076,0.14400883279313348,0.14469195311242608,2.377129143653292,2.377129143653292,2.743703940450373
BTC,2021-04-14,1618362300000000,0.05,reference,0,8663.941865619405,0.13662406306856653,0.13662406306856653,0.0,0.0,8661.564736475751,0.0,-2.2324371905399,2.2324371905399,0.0006831203192926076,0.14400883279313348,0.14469195311242608,2.377129143653292,2.377129143653292,2.743703940450373
BTC,2021-04-14,1618362300000000,0.05,oracle_price,1,8663.941865619405,0.13662406306856653,0.13662406306856653,0.0,0.0,8661.928738291732,0.0,-1.6545174037597574,1.6545174037597574,0.21381665097074132,0.14479327294247923,0.35860992391322055,2.013127327672919,2.013127327672919,2.323569754849683
BTC,2021-04-14,1618362300000000,0.05,oracle_price,0,8663.941865619405,0.13662406306856653,0.13662406306856653,0.0,0.0,8661.928738291732,0.0,-1.6545174037597574,1.6545174037597574,0.21381665097074132,0.14479327294247923,0.35860992391322055,2.013127327672919,2.013127327672919,2.323569754849683
BTC,2021-04-14,1618362300000000,0.05,oracle_liquidity,1,8663.941865619405,0.13662406306856653,0.13662406306856653,0.0,0.0,8650.86762590407,0.0,-13.073556595030787,13.073556595030787,0.0006831203027247594,0.0,0.0006831203027247594,13.074239715335352,13.074239715335352,15.090405635357579
BTC,2021-04-14,1618362300000000,0.05,oracle_liquidity,0,8663.941865619405,0.13662406306856653,0.13662406306856653,0.0,0.0,8650.86762590407,0.0,-13.073556595030787,13.073556595030787,0.0006831203027247594,0.0,0.0006831203027247594,13.074239715335352,13.074239715335352,15.090405635357579
BTC,2021-04-14,1618362300000000,0.05,full_oracle,1,8663.941865619405,0.13662406306856653,0.13662406306856653,0.0,0.0,8661.928738291732,0.0,-1.6545174037597574,1.6545174037597574,0.21381665097074132,0.14479327294247923,0.35860992391322055,2.013127327672919,2.013127327672919,2.323569754849683
BTC,2021-04-14,1618362300000000,0.05,full_oracle,0,8663.941865619405,0.13662406306856653,0.13662406306856653,0.0,0.0,8661.928738291732,0.0,-1.6545174037597574,1.6545174037597574,0.21381665097074132,0.14479327294247923,0.35860992391322055,2.013127327672919,2.013127327672919,2.323569754849683
BTC,2021-04-14,1618362300000000,0.2,reference,1,34655.76746247762,0.5464962522742661,0.5464962522742661,0.0,0.0,34622.1822698865,0.0,-31.450112735391944,31.450112735391944,0.9293568114551167,1.205723044273327,2.135079855728444,33.58519259111927,33.58519259111927,9.691083202091114
BTC,2021-04-14,1618362300000000,0.2,reference,0,34655.76746247762,0.5464962522742661,0.5464962522742661,0.0,0.0,34622.1822698865,0.0,-31.450112735391944,31.450112735391944,0.9293568114551167,1.205723044273327,2.135079855728444,33.58519259111927,33.58519259111927,9.691083202091114
BTC,2021-04-14,1618362300000000,0.2,oracle_price,1,34655.76746247762,0.546496252274266,0.546496252274266,0.0,0.0,34645.168287830405,0.0,-6.618069615039029,6.618069615039029,0.8552666038829652,3.1258384282900806,3.981105032173046,10.599174647206382,10.599174647206382,3.0584157914500922
