asset,date,arrival_us,fraction,arm,depletion,fallback,arrival_notional,quantity,filled,unfilled,max_backlog,proceeds,fee_dollars,timing_dollars,timing_shortfall_dollars,spread_dollars,depth_dollars,book_cost_dollars,filled_quantity_shortfall_dollars,shortfall_dollars,shortfall_bps,shortfall_bps_fee10
BTC,2021-04-14,1618360500000000,0.01,reference,1,0,1175.8018240702147,0.018577626036036632,0.018577626036036632,0.0,0.0,1176.6295501982513,0.0,0.827819016165749,-0.827819016165749,9.288812918533182e-05,0.0,9.288812918533182e-05,-0.827726128036602,-0.827726128036602,-7.0396737876396855,2.967365886147954
BTC,2021-04-14,1618360500000000,0.01,reference,0,0,1175.8018240702147,0.018577626036036632,0.018577626036036632,0.0,0.0,1176.6295501982513,0.0,0.827819016165749,-0.827819016165749,9.288812918533182e-05,0.0,9.288812918533182e-05,-0.827726128036602,-0.827726128036602,-7.0396737876396855,2.967365886147954
BTC,2021-04-14,1618360500000000,0.01,price,1,0,1175.8018240702147,0.018577626036036632,0.018577626036036632,0.0,0.0,1178.0416974789491,0.0,2.255602465165314,-2.255602465165314,0.015729056430984822,0.0,0.015729056430984822,-2.239873408734411,-2.239873408734411,-19.049752797463373,-9.03070304466591
BTC,2021-04-14,1618360500000000,0.01,price,0,0,1175.8018240702147,0.018577626036036632,0.018577626036036632,0.0,0.0,1178.0416974789491,0.0,2.255602465165314,-2.255602465165314,0.015729056430984822,0.0,0.015729056430984822,-2.239873408734411,-2.239873408734411,-19.049752797463373,-9.03070304466591
BTC,2021-04-14,1618360500000000,0.01,liquidity,1,0,1175.8018240702147,0.018577626036036632,0.018577626036036632,0.0,0.0,1178.0762518630952,0.0,2.274520681012013,-2.274520681012013,9.288813161839217e-05,0.0,9.288813161839217e-05,-2.2744277928804877,-2.2744277928804877,-19.343632118269845,-9.324288486151575
BTC,2021-04-14,1618360500000000,0.01,liquidity,0,0,1175.8018240702147,0.018577626036036632,0.018577626036036632,0.0,0.0,1178.0762518630952,0.0,2.274520681012013,-2.274520681012013,9.288813161839217e-05,0.0,9.288813161839217e-05,-2.2744277928804877,-2.2744277928804877,-19.343632118269845,-9.324288486151575
BTC,2021-04-14,1618360500000000,0.01,both,1,0,1175.8018240702147,0.018577626036036632,0.018577626036036632,0.0,0.0,1178.0416974789491,0.0,2.255602465165314,-2.255602465165314,0.015729056430984822,0.0,0.015729056430984822,-2.239873408734411,-2.239873408734411,-19.049752797463373,-9.03070304466591
BTC,2021-04-14,1618360500000000,0.01,both,0,0,1175.8018240702147,0.018577626036036632,0.018577626036036632,0.0,0.0,1178.0416974789491,0.0,2.255602465165314,-2.255602465165314,0.015729056430984822,0.0,0.015729056430984822,-2.239873408734411,-2.239873408734411,-19.049752797463373,-9.03070304466591
BTC,2021-04-14,1618360500000000,0.01,twap,1,0,1175.8018240702147,0.01857762603603663,0.01857762603603663,0.0,0.0,1177.7349932579543,0.0,1.9363893095301465,-1.9363893095301465,0.0032201217906085667,0.0,0.0032201217906085667,-1.9331691877398498,-1.9331691877398498,-16.441284136198178,-6.424842852061982
BTC,2021-04-14,1618360500000000,0.01,twap,0,0,1175.8018240702147,0.01857762603603663,0.01857762603603663,0.0,0.0,1177.7349932579543,0.0,1.9363893095301465,-1.9363893095301465,0.0032201217906085667,0.0,0.0032201217906085667,-1.9331691877398498,-1.9331691877398498,-16.441284136198178,-6.424842852061982
BTC,2021-04-14,1618360500000000,0.05,reference,1,0,5879.009120351074,0.09288813018018316,0.09288813018018316,0.0,0.0,5883.1477509912565,0.0,4.139095080828745,-4.139095080828745,0.0004644406459266591,0.0,0.0004644406459266591,-4.138630640182782,-4.138630640182782,-7.039673787639298,2.9673658861483414
BTC,2021-04-14,1618360500000000,0.05,reference,0,0,5879.009120351074,0.09288813018018316,0.09288813018018316,0.0,0.0,5883.1477509912565,0.0,4.139095080828745,-4.139095080828745,0.0004644406459266591,0.0,0.0004644406459266591,-4.138630640182782,-4.138630640182782,-7.039673787639298,2.9673658861483414
